,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
64,"Artificial Intelligence Machine Learning Analyst, Senior",Employer Provided Salary:$93K - $212K,"Key Role:
Design and implement effective AI solution architecture utilizing approaches of various AI technologies and methods to address clients' business problems and needs, while complying with the company's strategies and business goals. Develop and contribute functional knowledge, and working industry knowledge, to solutions to a variety of problems of moderate scope and complexity. Work independently with some guidance. Review or guide activities of more junior employees.
Basic Qualifications:
5+ years of experience with Artificial Intelligence disciplines
Knowledge of DoD AI/ML policies and practices pertaining to big data and analytics
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

ID13-G",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
65,Data Scientist,Employer Provided Salary:$130K - $160K,"Data Scientist
EpochGeo is looking for a mid level Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in data rich projects in the national security space. All employees will start in the Washington D.C office but upon request and with customer approval may be allowed to work from Reston VA, Charlottesville VA, or College Park MD.
Big data problems can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record developing open-source innovative technology and actionable analytics to inform customers’ data driven decisions.
Are you a data scientist, AI/ML practitioner, mathematician, or similar, who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and then work collaboratively with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.",5.0,"EpochGeo
5.0","Reston, VA",1 to 50 Employees,2020,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
66,Senior Data Analyst,Employer Provided Salary:$146K - $234K,"Responsibilities:
This is a role is part of a high-impact team delivering critical insights from data to the Sponsor reaching objectives and enabling informed decision making. The Candidate needs to be skilled at gathering, manipulating, and understanding data resources and combines these skills with curiosity and a passion for solving organizational problems. A strong communicator with developed internal client consulting skills, the Candidate will be responsible for understanding vision and objectives of the Sponsor while proactively finding data-based solutions that lead the organization.

The Data Analyst provides support in analyzing data, providing insights and reports as it relates to various business operations, aggregating data to achieve data-driven insights and results. The Analyst is responsible for measuring and assessing the effectiveness of the data sets. The Data Analytics position deals with issues related to reporting, aggregating, combining multiple internal and external data sources to produce analyses, and metrics. The Data Analyst is also tasked with providing mentorship and guidance to the government team members and stakeholders.

Qualifications:
Peraton Overview:
Target Salary Range: $146,000 - $234,000. This represents the typical salary range for this position based on experience and other factors. EEO Tagline (Text Only): An Equal Opportunity Employer including Disability/Veteran.",3.6,"Peraton
3.6","Chantilly, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
67,Data Engineer Project Manager,Employer Provided Salary:$93K - $212K,"The Opportunity:
Ever-expanding technology like IoT, machine learning, and artificial intelligence means that there’s more structured and unstructured data available today than ever before. As a data engineer, you know that organizing big data can yield pivotal insights when it’s gathered from disparate sources. We need a big data experienced professional like you to help our clients find answers in their data to impact important missions from fraud detection to cancer research, to national intelligence.
As a lead big data engineer at Booz Allen, you’ll use your expertise to lead data engineering activities on some of the most mission-driven projects in the industry. You’ll oversee the development and deployment of pipelines and platforms that organize and make disparate data meaningful. Here, you’ll guide and mentor a multi-disciplinary team of analysts, data engineers, developers, and data consumers in a fast-paced, agile environment. You’ll use your expertise in analytical exploration and data examination while you oversee the assessment, design, building, and maintenance of scalable platforms for your clients. Work with us to use big data for good.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

ID13-G",4.2,"Booz Allen Hamilton
4.2","Arlington, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
68,"AI and ML Research and Development Technologist, Lead",Employer Provided Salary:$121K - $275K,"The Opportunity:
As an experienced engineer, you know that machine learning is critical to understanding and processing massive datasets. Your ability to conduct statistical analyses on business processes using ML techniques makes you an integral part of delivering a customer-focused solution. We need your technical knowledge and desire to problem-solve to support clients.
We are seeking a highly skilled and experienced artificial intelligence (AI) and machine learning (ML) research and development (R&D) Lead Technologist with a background in integrating AI and ML into the framework of Intelligent Autonomous Systems (IAS). The ideal candidate will help build and lead an R&D team in developing and integrating cutting-edge AI and ML technologies into autonomous systems. In this role, you will be responsible for leading the design and development of advanced algorithms and software solutions that enable the effective operation of trusted autonomous systems. You will conduct experiments to explore new AI and ML technologies and collaborate with cross-functional teams, including hardware engineers, system engineers, and product managers to ensure the successful integration of these technologies into the IAS development pipeline. You will also help develop Test, Evaluation, Verification and Validation (TEV&V) procedures and techniques for IAS.




Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $121,200.00 to $275,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

ID13-G",4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
69,"Senior Analyst, Statistical Programming",$84K - $112K (Glassdoor est.),"Join a Legacy of Innovation 110 Years and Counting!

Daiichi Sankyo Group is dedicated to the creation and supply of innovative pharmaceutical therapies to improve standards of care and address diversified, unmet medical needs of people globally by leveraging our world-class science and technology. With more than 100 years of scientific expertise and a presence in more than 20 countries, Daiichi Sankyo and its 15,000 employees around the world draw upon a rich legacy of innovation and a robust pipeline of promising new medicines to help people. Under the Group’s 2025 Vision to become a “Global Pharma Innovator with Competitive Advantage in Oncology,” Daiichi Sankyo is primarily focused on providing novel therapies in oncology, as well as other research areas centered around rare diseases and immune disorders.
Summary
The purpose of this job is to support quality assurance of statistical vendor deliverables, including performing programmatic review of analysis datasets and Table, Listing, and Figures (TLFs) generated by vendor, ensuring deliverable quality, and helping to expedite the preparation of regulatory submission. It will also to support statistical analysis during submissions and post-submission regulatory response period by independently developing and/or validating analysis datasets, and TLFs.

Responsibilities",4.0,"Daiichi Sankyo, Inc.
4.0","Basking Ridge, NJ",10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
70,Sr. Data Architect,-1,"Job Brief
$2,500 sign-on bonus and relocation expenses are negotiable.
The Alaka`ina Foundation Family of Companies (FOCs) is looking for a Sr. Data Architect to support our government customer located in Albuquerque, NM.
The role of the Sr Data Architect is to collaborate with data scientists, researchers, users, model and sim engineers, user experience designers, software engineers, digitizers, cataloguers, and system administrators to design a system to collect, manage, and convert raw data from the DTRIAC archive into usable information for U.S. deterrent missions.
The Sr. Data Architect will answer:",3.7,"Alaka`ina Foundation Family of Companies
3.7","Albuquerque, NM",Unknown,-1,Government,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
71,Senior Application Data Analyst-IN PERSON,Employer Provided Salary:$100K - $130K,"Senior Application Data Analyst - IN PERSON
Summary
Interborough Developmental and Consultation Center, Inc a licensed out-patient mental health organization that is committed to providing the highest level of care to the Brooklyn community is seeking a Senior Application Data Analyst. This is a senior level position responsible for leading applications data analysis and programming activities in the implementation of new or revised systems and programs. The Senior Application Data Analyst reports directly to the Chief Information Officer.
This is an In-Person position - YOU MUST LIVE IN NYC/FIVE BOROUGHS
RESPONSIBILITIES:",3.4,"Interborough Developmental and Consultation Center
3.4","Brooklyn, NY",Unknown,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
72,Senior Data Analyst,$73K - $102K (Glassdoor est.),"Job Description

Summary:

The Analytic Consulting Group partners with internal and external clients and data providers, leveraging predictive analytics and advanced statistical techniques to drive strategic thought and effective decision making. The Senior Data Analyst helps support all aspects of analytic initiatives from conception to completion.

Responsibilities:
Provide SAS/SQL programming, under general direction, in the execution of data analysis that will contribute to the final project deliverables
Appropriately account for the timeliness and quality of all assignments









For decades, we've been helping marketers from the world's top brands personalize experiences for millions of people with our cutting-edge technology, solutions and services. Epsilon's best-in-class identity gives brands a clear, privacy-safe view of their customers, which they can use across our suite of digital media, messaging and loyalty solutions. We process 400+ billion consumer actions each day and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon has been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Positioned at the core of Publicis Groupe, Epsilon is a global company with more than 8,000 employees around the world. Check out a few of these resources to learn more about what makes Epsilon so EPIC:



We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.

Epsilon is an Equal Opportunity Employer. Epsilon's policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.

Epsilon will provide accommodations to applicants needing accommodations to complete the application process.

#LI-WK1

REF197070S",3.9,"Epsilon
3.9","Irving, TX",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD)
73,Contract Senior Statistical Programmer (Remote),Employer Provided Salary:$100.00 Per Hour,"We are helping a small pharmaceutical company for a senior contract statistical programmer position. The rate is very competitive.
Job Summary:
· Provide oversight for CROs deliveries including SDTM, ADaMs, TFLs, DMC, DSUR, interim analysis, final CSR analysis
· Provide programming support for internal production deliveries including SDTM, ADaMs, TFLs, DMC, DSUR, interim analysis, final CSR analysis
· Provide infrastructure support for internal programming team: set up and maintain standard directory, author technical user guides for utilities, draft good programming practices and department SOPs, make training materials for junior/new programmers",-1,"Sysdata Consulting, Inc",Remote,-1,-1,-1,-1,-1,-1
74,Statistical Programmer,Employer Provided Salary:$115K - $150K,"Exciting new role! Plan and coordinate the development of integrated programming solutions serving the full spectrum of statistical programming needs. Provide technical expertise and leadership to the department. Provide internal consulting services, including specifications and user needs analysis for complex projects or client requirements.
Responsibilities:
Provide advanced technical expertise to develop and maintain programs to meet internal and external clients’ needs. Plan and lead the development of project-related solutions to the full scope of statistical programming tasks. Provide technical expertise to the Statistical Programming department
Perform and plan: (i) the programming, testing, and documentation of programs for use in creating statistical tables, figures and listing summaries, (ii) the programming of analysis databases (derived datasets) and transfers of data for internal and external clients. May perform and plan the programming of database quality control checks.",-1,XSG,"Plymouth Meeting, PA",-1,-1,-1,-1,-1,-1
75,Data Science Architect,Employer Provided Salary:$120K - $140K,"Job Description
Data Science Architect
Roles and Responsibilities:
1. Solution Design: Collaborate with business stakeholders to understand their goals, requirements, and challenges. Design data science solutions that align with business objectives and address identified problems.
2. Data Integration: Develop data integration strategies to gather, cleanse, and transform data from various sources. Ensure data quality, consistency, and reliability for analysis and modeling purposes.",4.8,"Global KTech
4.8","Lake Mary, FL",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
76,Data Architect,Employer Provided Salary:$82K - $186K,"The Challenge:
For an organization to transform in today’s digital world, it needs to properly collect, store, and organize its data. Effective data management can enable more efficient operations, yielding more growth. As a data architect, you know how to apply your creative-thinking and analytical mindset to help organizations manage their data assets. We’re looking for an experienced data architect like you to deliver leading-edge solutions for an Air Command's Intelligence, Surveillance, and Reconnaissance (ISR) mission.
As a data architect, you’ll use your extensive technical expertise to design data architectures to support data science, data engineering, and data visualization. You’ll resolve routine data architecture issues in collaboration with technical teams by providing advice on data warehousing or data mesh methods and approaches, analyzing data architecture business needs, and working with project staff to make decisions and recommendations on future data architecture developments. You will apply a wide range of Big Data and Cloud technologies to propose recommendations for the development of data integration pipelines, scalable data storage environments, Application Programming interfaces (APIs), security procedures, and algorithms used to deliver data faster and more accurately to decision-makers. Along with your team, you will analyze the needs and the environment to ensure development considers the architecture and operating environment as well as future functionality and enhancements. Define and maintain canonical data elements and definitions, data models, policies and business rules, constraints using regular expressions, and reference datasets. You'll develop plans for implementing an enterprise data catalog to identify data quality and data lineage.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $81,800.00 to $186,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.

ID13-G",4.2,"Booz Allen Hamilton
4.2","Langley AFB, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
77,Senior Data Analyst,$75K - $96K (Glassdoor est.),"My Choice Wisconsin is proud to offer a rewarding work environment as an employer of choice. We are looking to add a Senior Data Analyst to our collaborative and growing team in Madison, Wisconsin!
Who We Are
Caring Starts Here where we embrace the whole person. We are Wisconsin’s largest Managed Care Organization (MCO) that serves seniors and adults with disabilities, making a difference in over 50 counties across the state.
Our Decision Support team collaborates across departments such as IT, Claims, Finance, and Quality to ensure our members are provided the best possible care and service. If you are looking for a career where you can utilize your analytic experience and share implementation ideas to improve the lives of others this may be the perfect opportunity for you!",4.2,"My Choice Wisconsin
4.2","Madison, WI",1001 to 5000 Employees,2000,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
78,"Principal Engineer, Machine Learning",Employer Provided Salary:$152K - $190K,"ITHAKA's mission is to expand access to knowledge and education around the world. Our services — Artstor, JSTOR, Portico, and Ithaka S+R — enable people everywhere to learn, to grow, and to overcome historical barriers to education. In carrying out our mission, as employees we feel a deep responsibility to each other and our well-being, and are committed to building and sustaining a diverse, equitable, and inclusive workplace.
The Role
ITHAKA is hiring a Principal Engineer, Machine Learning (ML) to support our journey of developing next-generation graphs, recommender systems, data products, and Variational Autoencoders. Join ITHAKA to develop deep connections between content types (video, text, images), and user needs, and collaborate with product teams to fine-tune products.",3.9,"ITHAKA
3.9","Ann Arbor, MI",201 to 500 Employees,1995,Nonprofit Organization,Internet & Web Services,Information Technology,$25 to $100 million (USD)
79,Data Analyst,$55K - $79K (Glassdoor est.),"**Cannot work with third parties**
Title: Sr Data Analytics Auditor
Position Type: Direct Placement
Location: Cincinnati, OH, United States
Description:
Sr Data Analytics Auditor
(*_Position based in Cincinnati, Oh)*_
(Hybrid 3 days per week in office)",4.6,"Central Point Partners
4.6","Cincinnati, OH",1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
80,Senior Statistical Programmer - Neuroscience (US),-1,"Overview:
ABOUT PHASTAR
PHASTAR is a specialist biometrics contract research organization offering statistical consulting, clinical trial reporting, data management, and data science services.
With offices across the UK, US, Germany, Denmark, Kenya, Australia, India, China, and Japan, PHASTAR is the second largest specialized biometrics provider globally, and the largest in the UK.
Our unique approach to data analysis, “The PHASTAR Discipline”, has led us to build a reputation for outstanding quality. With this as our core focus, we’re looking for talented individuals who share our passion for quality and technical expertise to join our team.
WHY PHASTAR
A career at PHASTAR offers you the chance to work in an intellectually stimulating, dynamic and supportive environment, where you will play an important role in the development of the next generation of lifesaving medicines.
Responsibilities:
Qualifications:",4.2,"PHASTAR
4.2",Remote,201 to 500 Employees,2007,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
81,Director of Data Services,Employer Provided Salary:$145K,"Join a Growing Wireless Provider and Unlock the Power of Data-Driven Success as our Director of Data Services!
This is a remote position.
Who We Are
StandUp Wireless is a dynamic wireless service provider focused on leveraging technical insights and innovative solutions to keep our communities connected. The company offers an energetic, entrepreneurial atmosphere where employees work in teams to help achieve goals. StandUp is a company built on trust that values individuals with personal initiative and creative solutions. Best of all… We are a small but mighty company that makes a huge impact!
What You Will Be Doing",3.3,"Stand Up Wireless
3.3",Remote,51 to 200 Employees,-1,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
82,Machine Learning Engineer,Employer Provided Salary:$80K - $125K,"Current Openings:
Signal Processing- Machine Learning- AI Engineer/Scientist
Vadum is seeking a Senior Signal Processing Engineer/Scientist to develop machine learning and complex signal processing algorithms. The individual should be capable of leading efforts or playing a key role in a variety of machine learning and algorithm development for next-generation applications; including radar, detection, classification, compression, fusion and encryption.
Responsibilities may include:
Participate in the development of innovative detection, estimation and classification algorithms and techniques for advanced applications.",-1,Vadum Inc,"Raleigh, NC",-1,-1,-1,-1,-1,-1
83,Lead Statistical Programmer (Clinical trials)Fulltime role,-1,"Position: Lead Statistical Programmer(Clinical Trials)(REMOTE)
Employment type: Fulltime role
Location: United States
About ClinChoice
ClinChoice is a Global CRO dedicated to offering high-quality one-stop service to biopharmaceutical, medical device, and consumer products clients. Some of these services include clinical operations, project management, biostatistics, data management, regulatory affairs, medical affairs, and pharmacovigilance. ClinChoice has established major delivery centers across the US, Canada, China, Europe, India, Japan, and the Philippines. It has over 3,000 employees globally, a strong and talented team, and a growing clinical operations presence in seven countries across Asia, North America, and Europe.",4.0,"ClinChoice
4.0",Remote,1001 to 5000 Employees,1995,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,$25 to $100 million (USD)
84,Data Scientist - Healthcare,$88K - $123K (Glassdoor est.),"Data Scientist - Healthcare

Position Description
Join this multifaceted organization as a Data Scientist!

The best version of us starts with You!

CGI seeks a highly motivated Data Scientist to join our organization of data engineers and data scientists who collect, store, process, and analyze huge sets of data. Your main focus will be applying machine learning (ML) and data mining techniques, performing statistical analysis, and building high quality analytic systems - deep learning, anomaly detection, natural language processing (NLP), recommendation systems, predictive analytics and information retrieval. You'll mentor teammates, develop algorithms and scripts, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into recommended and measurable insights.

This position is based in Lafayette, LA (Preferred) but can also be on-site in Bloomfield, CT

Your future duties and responsibilities
Selecting features, building and optimizing classifiers/regressors using machine learning techniques.
Data mining using innovative methods - deep learning, learning to rank, anomaly detection.
Extending existing data with third party and open sources of information when needed.
Improving data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Perform analysis and proactive assessments of issues along with giving appropriate solutions.
Draft, refine and present machine learning foresight to business partners.
Crafting automated anomaly detection systems and constant tracking of its performance.

Required qualifications to be successful in this role
At least 7+ years of overall experience in machine learning and data mining techniques.
Experience in machine learning (ML) techniques and algorithms, such as Boosting, k-NN, Naive Bayes, SVM, Decision Forests, natural language processing (NLP) etc.
Experience in deep learning techniques - neural networks, Boltzmann machines, auto-encoders, etc.
Experience in using various model optimization techniques including Hyperparameter tuning, etc.
Experience with at least one of common data science and software development toolkits, such as Python, Spark, Scikit Learn, MLFlow, Git, etc.
Experience with any one of the following data visualization tools, such as Tableau, Dash, Streamlit, Power BI, Qlik, D3, etc.
Experience with integration of data from multiple data sources (on-premises databases, Lakehouse, etc.).
Experience with SQL Server databases.
Experience with Spark-SQL, MySQL, T-SQL.
Shown applied statistics skills, such as distributions, statistical testing, regression, etc.
Ability to interpret and communicate highly sophisticated model results and their business impact to senior leaders.
Exposure to Model Deployment and Maintenance techniques
Intermediate data migration skills for cross-platform databases (on-premises databases, Lakehouse, etc.).

Education: Master's degree preferred, or at least a bachelor's degree in computer science, Applied Mathematics/Statistics, Data Science, or Data Analytics.

Desired qualifications/non-essential skills:
Experience with cloud providers - Amazon AWS, Microsoft Azure
Experience with Cloudera/MapR/Hortonworks/Databricks

#LI-BK1
#DICE

CGI is required by law in some jurisdictions to include a reasonable estimate of the compensation range for this role. The determination of this range includes various factors not limited to skills, level, experience, relevant training, and licensure and certifications. To support the ability to reward for merit-based performance, CGI typically does not hire individuals at or near the top of the range for their role. Compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range for this role in the U.S. is $84,000 - 161,600.

At CGI, we call our professionals ""members"" to reinforce that all who join our organization are, as owners, empowered to take part in the challenges and rewards that come from building an outstanding company. CGI's benefits include:



While technology is at the heart of our clients' digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today - one of the world's largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI - where your ideas and actions make a difference.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. .

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information.",3.9,"CGI Group, Inc.
3.9","Lafayette, LA",10000+ Employees,1976,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
85,Data Scientist,$93K - $127K (Glassdoor est.),"At Accenture Federal Services, nothing matters more than helping the US federal government make the nation stronger and safer and life better for people. Our 13,000+ people are united in a shared purpose to pursue the limitless potential of technology and ingenuity for clients across defense, national security, public safety, civilian, and military health organizations.
Join Accenture Federal Services to do the work you love in an inclusive, collaborative, and caring community, where you can be empowered to grow, learn and thrive through hands-on experience, certifications, industry training and more.
Join us to drive positive, lasting change that moves missions and the government forward!

Job Description:
Accenture Federal Services is seeking a Data Scientist who is excited about analyzing and solving national security related problems. In this role you will be empowered to:",4.0,"Accenture Federal Services
4.0","Washington, DC",10000+ Employees,1989,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
86,Senior Data Scientist,$101K - $141K (Glassdoor est.),"Job Summary:

The Senior Data Scientist is responsible for applying highly complex advanced data science, predictive analytics, and machine learning techniques to provide insights and actionable recommendations, as well as providing consulting support for applications development and cross functional initiatives.

Job Responsibililities:
Builds models and tools using technical knowledge in machine learning, statistical modeling, probability and decision theory, and other quantitative techniques. Innovates by adapting to new modeling techniques and procedures.
Understands the business reality behind large sets of data and develops meaningful analytic solutions.


Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.



#LI-JW1",3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
87,Senior Software Engineer (Data),Employer Provided Salary:$92K - $235K,"Would you like to see the impact of your work on the real world? Is hands-on world class engineering and problem-solving part of your passion? Welcome to WBA Tech.

We are a team of technologists, under our visionary CEO Rosalind Brewer, working to transform health care through innovations that make quality care more accessible, affordable, easier to use, efficient, and patient-focused. Through the user of technology, we are pioneering a new approach to total health that puts people at the center of everything we do. You will be part of a team that will build the future of a healthcare platform that connects customers with doctors’ offices, hospitals, care centers, pharmacies, insurers and payors. Working for WBA Tech is rewarding because your efforts will make a true difference to customers and patients across the communities we serve in the U.S.

You will be involved in algorithm design, data structure at petabyte scale, imaging and speech processing, artificial intelligence and robotics, infrastructure and network designs at a massive scale.

We look for leaders and individual contributors in front end designers, backend Java programmers, Linux engineers, network engineers, software and algorithm designers (remember the big O notation?), AI implementers, image processing engineers, database designers (SQL and NoSQL), messaging engineers and security engineers with knowledge at protocol level.

WBA is #18 on the Fortune 500 list and our company purpose is more joyful lives through better health.



Seasoned, experienced professional with a full understanding of area of specialization, who will perform and implement activities that impact components/ processes of specified functional areas of the Walgreens Digital/Online application. Anticipates and prevents problems and roadblocks before they occur. Typically assigned to important / complicated undertakings. Implements activities that generally impact important components / processes of the work of own unit / team / projects of the platform operation in an Agile environment.
This role is developing design skills, but has a comprehensive understanding of the organization's current software application and tools. Has in-depth knowledge of programming languages important to the organization and is proficient with them. Receives work in the form of short- and mid-term assignments that regularly require the application of independent judgement. Mentors less experienced members of the team.



Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.



An employee in this position can expect a salary between $91,950 and $235,440 plus bonus pursuant to the terms of any bonus plan, if applicable, will depend on experience, seniority, geographic locations, and other factors permitted by law.
To review benefits, please click here jobs.walgreens.com/benefits
An Equal Opportunity Employer, including disability/veterans",3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
88,ML Engineer - Data & Advanced Analytics,-1,"ML Engineer - Data & Advanced Analytics (Job Number: 2307801 )
As the Machine Learning Engineer working in Penske’s Advanced Analytics team, you will be in a high impact role. You will be supporting multiple businesses and functions within Penske with their data science initiatives. You will play a key role in maturing the AI/ML Ops at Penske organization. This is a great opportunity for someone who has some machine learning experience or planning to switch to machine learning as a career choice.
Responsibilities
As part of Penske’s Advanced Analytics team you will be responsible for implementation and operationalization of AI/ML models. You will work with other machine learning engineers, data scientists, software engineers and platform engineers to ensure success of the AI/ML implementations at Penske. Specific responsibilities will include:
1-3 years of experience developing software applications and exposure to Machine Learning
100 Gundy Drive 100 Gundy Drive",3.5,"Penske Truck Leasing and Logistics
3.5","Reading, PA",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
